"UHH_ThetaEvolve:evolve:Total energy","UHH_ThetaEvolve:evolve:Energy calc count","UHH_ThetaEvolve:evolve:Max dm/dt","UHH_ThetaEvolve:evolve:dE/dt","UHH_ThetaEvolve:evolve:Delta E","UHH_ThetaEvolve:evolve:Temperature","Oxs_CubicAnisotropy::Energy","Oxs_UniformExchange::Energy","Oxs_UniformExchange::Max Spin Ang","Oxs_UniformExchange::Stage Max Spin Ang","Oxs_UniformExchange::Run Max Spin Ang","Oxs_ScriptUZeeman::Energy","Oxs_ScriptUZeeman::B","Oxs_ScriptUZeeman::Bx","Oxs_ScriptUZeeman::By","Oxs_ScriptUZeeman::Bz","Oxs_Demag::Energy","Oxs_TimeDriver::Iteration","Oxs_TimeDriver::Stage iteration","Oxs_TimeDriver::Stage","Oxs_TimeDriver::mx","Oxs_TimeDriver::my","Oxs_TimeDriver::mz","Oxs_TimeDriver::Last time step","Oxs_TimeDriver::Simulation time"
2.8755408760928098e-19,1,289627.24678117188,-3.0805504589517793e-10,0,100,-3.2475827394118764e-20,2.6079739856246942e-27,0.0058651605101602182,0.0058651605101602182,0.0058651605101602182,3.1861358761031974e-19,498.66563015699842,498.66563015699842,0,0,1.416324785106022e-21,0,0,0,-0.59072884546755966,-0.58793697078137197,0.55260250676400724,0,0
3.0806036574671643e-19,501,302515.92765299429,-2.6800831955050061e-09,4.8666090392774627e-23,100,-3.2184099867381488e-20,2.1070503531090173e-20,8.3334438901871994,10.075620239197345,10.075620239197345,3.1786353300976417e-19,498.66563015699842,498.66563015699842,0,0,1.3104290732435625e-21,500,500,0,-0.58933819891181483,-0.61088448181481603,0.52702568848464937,1.0000000000000001e-15,4.9999999999999817e-13
3.2726035053739557e-19,1001,248697.08856008016,-4.744758466125879e-09,-1.5489925401100854e-22,100,-3.1726245628914096e-20,4.0396243252243555e-20,10.903152795610069,13.445540728815484,13.445540728815484,3.1739317135020554e-19,498.66563015699842,498.66563015699842,0,0,1.197181563860583e-21,1000,1000,0,-0.58846611997071474,-0.63415514671458006,0.49810792763333045,1.0000000000000001e-15,1.0000000000000052e-12
3.4964469487488279e-19,1501,284089.80769264069,-7.1907349991461076e-09,-2.1367781574555623e-22,100,-3.1134795639570583e-20,6.3319818200079295e-20,13.87041650812084,17.691462795595818,17.691462795595818,3.1636486030600224e-19,498.66563015699842,498.66563015699842,0,0,1.094812008371847e-21,1500,1500,0,-0.58655956915321861,-0.65515624133406658,0.47044029186185937,1.0000000000000001e-15,1.5000000000000536e-12
3.6983298433647822e-19,2001,260460.69006191471,-9.3308545620545594e-09,1.3928132939371788e-22,100,-3.0476307222982223e-20,8.3075632839721785e-20,19.542858654030042,19.740298028358929,19.740298028358929,3.1623839976742027e-19,498.66563015699842,498.66563015699842,0,0,9.9525895231835036e-22,2000,2000,0,-0.5863251036725905,-0.67367708497752332,0.4419879037591502,1.0000000000000001e-15,2.0000000000001017e-12
3.7825914659462004e-19,2501,253767.25858810244,-1.0301768165365153e-08,-4.4286302350563081e-23,100,-2.9688968801251756e-20,9.2273916490436675e-20,21.190218212178518,25.350824933611946,25.350824933611946,3.1477960125740579e-19,498.66563015699842,498.66563015699842,0,0,8.9459764802932367e-22,2500,2500,0,-0.58362040307882757,-0.69456932148250317,0.41120563475795696,1.0000000000000001e-15,2.5000000000001501e-12
3.9243055745172699e-19,3001,286523.88000906562,-1.1892544531844417e-08,-2.3203615128858159e-23,100,-2.8827842809994745e-20,1.0707630538767403e-19,20.895999201306044,25.350824933611946,25.350824933611946,3.1337736826086536e-19,498.66563015699842,498.66563015699842,0,0,8.0472661318234296e-22,3000,3000,0,-0.58102057836533805,-0.71254870889891464,0.38148457692414456,1.0000000000000001e-15,3.0000000000001985e-12
4.0259513902531668e-19,3501,257564.36623290161,-1.2540596544634297e-08,-1.2198622889556452e-22,100,-2.7942698155923691e-20,1.1695103883459791e-19,26.370244706693846,26.451858201224315,26.451858201224315,3.1286913271627115e-19,498.66563015699842,498.66563015699842,0,0,7.1766563037131582e-22,3500,3500,0,-0.58007827895263708,-0.72814627025520884,0.35071642457127811,1.0000000000000001e-15,3.5000000000002468e-12
4.1672452839616002e-19,4001,256677.2361573285,-1.3883959496862242e-08,-3.2071484381342283e-23,100,-2.7055718510909597e-20,1.3144896196650773e-19,22.208187097742279,30.032868217384699,30.032868217384699,3.116895485607132e-19,498.66563015699842,498.66563015699842,0,0,6.4173637984871149e-22,4000,4000,0,-0.57789125864515156,-0.74283290116462286,0.31991778309627944,1.0000000000000001e-15,4.0000000000001486e-12
4.2886238424678762e-19,4501,286878.24559597392,-1.5050662682858535e-08,1.3910414275739829e-22,100,-2.6050241561513001e-20,1.4429672889130889e-19,24.962545970235407,30.032868217384699,30.032868217384699,3.1004487406634439e-19,498.66563015699842,498.66563015699842,0,0,5.7102285064736983e-22,4500,4500,0,-0.57484193274378204,-0.75660805249977003,0.28956936718031528,1.0000000000000001e-15,4.499999999999995e-12
4.4682357368560983e-19,5001,258316.02929443988,-1.7128606663898453e-08,-8.5864580415644075e-23,100,-2.526290370657115e-20,1.6294854630557758e-19,28.139631337416844,30.705640390821511,30.705640390821511,3.0862759962324003e-19,498.66563015699842,498.66563015699842,0,0,5.1033146336338738e-22,5000,5000,0,-0.57221422027939817,-0.76835302924147852,0.25914912005716323,1.0000000000000001e-15,4.9999999999998414e-12
4.5494038939312054e-19,5501,264671.26872458565,-1.7920269392433542e-08,9.636185068432193e-23,100,-2.431469870456357e-20,1.7159395512947703e-19,29.843496900372184,30.705640390821511,30.705640390821511,3.0721092846989544e-19,498.66563015699842,498.66563015699842,0,0,4.5020449831155553e-22,5500,5500,0,-0.56958762635068616,-0.77962008105118941,0.22731851819090607,1.0000000000000001e-15,5.4999999999996878e-12
4.7064677855712927e-19,6001,309413.40807629912,-1.9746416886210614e-08,-1.0976037142736213e-23,100,-2.3558917972328718e-20,1.8800941941351567e-19,26.31123309656051,31.306257174074528,31.306257174074528,3.057928594643042e-19,498.66563015699842,498.66563015699842,0,0,4.0341765163806141e-22,6000,6000,0,-0.56695844071943546,-0.78921405790386168,0.19541395358443933,1.0000000000000001e-15,5.9999999999995342e-12
5.0009323306802903e-19,6501,318601.24601430201,-2.2709008072502064e-08,-2.518543300005913e-23,100,-2.2937829642434569e-20,2.1746230999113262e-19,29.711390826430407,31.306257174074528,31.306257174074528,3.0520409839303557e-19,498.66563015699842,498.66563015699842,0,0,3.6465432629543477e-22,6500,6500,0,-0.56586684211406746,-0.79564118985490995,0.16390991882344622,1.0000000000000001e-15,6.4999999999993806e-12
5.0594156089581608e-19,7001,289806.79456230305,-2.3415865288835111e-08,1.4559711359735161e-22,100,-2.2269075444991516e-20,2.2326955788138992e-19,28.227926212594006,31.306257174074528,31.306257174074528,3.0461534070954092e-19,498.66563015699842,498.66563015699842,0,0,3.2573774987667114e-22,7000,7000,0,-0.56477524978983695,-0.80198559998233931,0.13210608910085636,1.0000000000000001e-15,6.999999999999227e-12
