"UHH_ThetaEvolve:evolve:Total energy","UHH_ThetaEvolve:evolve:Energy calc count","UHH_ThetaEvolve:evolve:Max dm/dt","UHH_ThetaEvolve:evolve:dE/dt","UHH_ThetaEvolve:evolve:Delta E","UHH_ThetaEvolve:evolve:Temperature","Oxs_CubicAnisotropy::Energy","Oxs_UniformExchange::Energy","Oxs_UniformExchange::Max Spin Ang","Oxs_UniformExchange::Stage Max Spin Ang","Oxs_UniformExchange::Run Max Spin Ang","Oxs_ScriptUZeeman::Energy","Oxs_ScriptUZeeman::B","Oxs_ScriptUZeeman::Bx","Oxs_ScriptUZeeman::By","Oxs_ScriptUZeeman::Bz","Oxs_Demag::Energy","Oxs_TimeDriver::Iteration","Oxs_TimeDriver::Stage iteration","Oxs_TimeDriver::Stage","Oxs_TimeDriver::mx","Oxs_TimeDriver::my","Oxs_TimeDriver::mz","Oxs_TimeDriver::Last time step","Oxs_TimeDriver::Simulation time"
1.7746621117190704e-20,1,1.3297581367772966,-1.1423121021236206e-16,0,0,-3.1921631459795029e-21,7.1343710537975052e-21,16.347311494086235,16.347311494086235,16.347311494086235,0,0,0,0,0,1.3804413209372703e-20,0,0,0,0.19134468545457683,0.14924913225662256,9.0025074392162264e-05,0,0
1.7746620485727007e-20,673,1.3310240027532672,-1.1425323464795679e-16,-1.2875199403976651e-30,0,-3.1921642500577496e-21,7.134370425836437e-21,16.348850111396644,16.348850111396644,16.348850111396644,0,0,0,0,0,1.3804414309948322e-20,500,500,0,0.19137544059200037,0.14924926209778858,9.004508677727163e-05,4.6507135921736296e-14,2.214792397888497e-11
1.7746619852256741e-20,1334,1.3353014306548066,-1.1424832470189502e-16,-1.3513181700931642e-30,0,-3.1921652702989413e-21,7.1343696436108314e-21,16.350347809818182,16.350598571004632,16.350598571004632,0,0,0,0,0,1.380441547894485e-20,1000,1000,0,0.19140616020222737,0.14924939004099108,9.0064680520016014e-05,4.5362480762512576e-14,4.4265674878295951e-11
1.7746619218551861e-20,1995,1.3210517278999117,-1.1424377221796773e-16,-1.4089068696612685e-30,0,-3.1921662095670439e-21,7.1343693152100699e-21,16.35222594993207,16.35222594993207,16.35222594993207,0,0,0,0,0,1.3804416112908837e-20,1500,1500,0,0.19143688698643579,0.14924951623144991,9.0083887364407632e-05,4.4245998385971884e-14,6.6384013747302783e-11
1.7746618584630515e-20,2656,1.3106984592791138,-1.1424676768697574e-16,-1.4609720008942697e-30,0,-3.1921670653872009e-21,7.1343687354782915e-21,16.353383110044316,16.353727560224453,16.353727560224453,0,0,0,0,0,1.3804416914539425e-20,2000,2000,0,0.19146762105545592,0.14924964067423277,9.0102715437289e-05,4.3156995390544638e-14,8.8503019525043067e-11
1.7746617948762388e-20,3317,1.2840555606385253,-1.1424139465738526e-16,-1.5080574623616667e-30,0,-3.1921678428665191e-21,7.1343687187914627e-21,16.35554722388158,16.35554722388158,16.35554722388158,0,0,0,0,0,1.3804417072837445e-20,2500,2500,0,0.19149831993134875,0.14924976324838285,9.0121151068366624e-05,4.2094795440981666e-14,1.1059214097863717e-10
1.7746617314460506e-20,3978,1.2611634581954994,-1.1427672047942383e-16,-1.5507288171259006e-30,0,-3.1921685445497962e-21,7.1343683853809211e-21,16.356442667183082,16.356838593142896,16.356838593142896,0,0,0,0,0,1.380441747362938e-20,3000,3000,0,0.1915290689632248,0.14924988438478834,9.0139260919376625e-05,4.1058738848310073e-14,1.3271278247530438e-10
1.7746616681736799e-20,4639,1.2193770425800621,-1.1435873741975872e-16,-1.5895648990809589e-30,0,-3.1921691801794294e-21,7.1343686628058919e-21,16.358806937343918,16.358806937343918,16.358806937343918,0,0,0,0,0,1.3804417199110335e-20,3500,3500,0,0.19155986829105773,0.14925000421003981,9.0157061824608297e-05,4.0048182160127192e-14,1.5486503847307687e-10
1.7746616047079998e-20,5300,1.1867343701961741,-1.1443646295947727e-16,-1.6243891745198922e-30,0,-3.1921697515713648e-21,7.1343685908884027e-21,16.359545781374745,16.359931838891519,16.359931838891519,0,0,0,0,0,1.380441720776296e-20,4000,4000,0,0.19159063270131543,0.14925012256510797,9.0174526099920851e-05,3.9062497760979012e-14,1.7698760580919593e-10
1.7746615415732209e-20,5961,1.2137772140212419,-1.1458213885712831e-16,-1.6559803368456747e-30,0,-3.1921702736868259e-21,7.1343690954058069e-21,16.36197374181933,16.36197374181933,16.36197374181933,0,0,0,0,0,1.380441659401323e-20,4500,4500,0,0.19162149010752255,0.14925024014916957,9.0191749532374268e-05,3.8101073482573453e-14,1.9917247140527777e-10
1.7746614784048728e-20,6622,1.2649626960496534,-1.1473169996080319e-16,-1.683680152561601e-30,0,-3.1921707510462165e-21,7.1343692820345574e-21,16.362721439461723,16.363007152122023,16.363007152122023,0,0,0,0,0,1.380441625306039e-20,5000,5000,0,0.19165235443488093,0.1492503568715437,9.0208709590694906e-05,3.7163312223587704e-14,2.213577152860464e-10
1.7746614150290948e-20,7283,1.3068621778861924,-1.1484554675076937e-16,-1.7069409577314203e-30,0,-3.192171196686851e-21,7.1343699070896831e-21,16.365035750920669,16.365047161135021,16.365047161135021,0,0,0,0,0,1.3804415439888113e-20,5500,5500,0,0.19168318305231832,0.14925047284026835,9.0225411729510455e-05,3.6248631578833408e-14,2.4351271776244035e-10
1.7746613516256017e-20,7944,1.3415675505749762,-1.1493963306109149e-16,-1.7259315347868992e-30,0,-3.1921716196708811e-21,7.1343703020059636e-21,16.365953385155947,16.366064054824918,16.366064054824918,0,0,0,0,0,1.3804414833920933e-20,6000,6000,0,0.19171401886948389,0.14925058850380379,9.024191011847347e-05,3.5356463477548094e-14,2.6566830635367835e-10
